RepotDate,ClientName,CCY,AmountCCY
01.09.2020,Клиент А,RUB,181
01.09.2020,Клиент B,RUB,-71
01.09.2020,Клиент C,RUB,192
01.09.2020,Клиент D,EUR,100
01.09.2020,Клиент E,USD,184
01.09.2020,Клиент F,RUB,-86
01.09.2020,Клиент G,RUB,-148
01.09.2020,Клиент H,RUB,-77
02.09.2020,Клиент X,RUB,-149
02.09.2020,Клиент K,RUB,59
02.09.2020,Клиент A,RUB,-59
02.09.2020,Клиент M,EUR,-43
02.09.2020,Клиент L,USD,30
02.09.2020,Клиент O,RUB,-78
02.09.2020,Клиент G,RUB,23
02.09.2020,Клиент H,RUB,37
03.09.2020,Клиент A,RUB,-27
03.09.2020,Клиент M,RUB,-121
03.09.2020,Клиент L,RUB,66
03.09.2020,Клиент O,RUB,-197
03.09.2020,Клиент G,USD,-147
03.09.2020,Клиент H,EUR,-96
03.09.2020,Клиент A,USD,119
03.09.2020,Клиент M,USD,159
04.09.2020,Клиент A,RUB,80
04.09.2020,Клиент M,RUB,-57
04.09.2020,Клиент L,RUB,146
04.09.2020,Клиент O,RUB,86
04.09.2020,Клиент G,USD,165
04.09.2020,Клиент H,EUR,135
04.09.2020,Клиент A,USD,-134
04.09.2020,Клиент M,USD,192
